m	trial	K_relative_error	S_relative_error
100	189	-0.083270988059102935	-0.19598418511743687
100	190	0.064497853669204908	0.11032498058884688
100	191	0.13179296147671438	0.11910803910372247
100	192	-0.077104365367909322	-0.090587482938930486
100	193	-0.12864756867034266	-0.20257147900359351
100	194	-0.05884971242289172	-0.091319404481836952
100	195	0.10383720452125456	0.11764419601790976
100	196	0.04665903479618061	0.017004983868294632
100	197	0.12412270275528736	0.16521909630681897
100	198	0.032230049717756115	0.012613454610856945
100	199	-0.064271605547127186	-0.017761289419754411
500	0	0.068548511027395342	0.033765987200848668
500	1	0.00096685917302807844	0.044012888801536754
500	2	0.029668177584379452	0.031350646109257863
500	3	-0.014312186403551919	-0.0034156271787910697
500	4	0.021461370938261171	-0.0038547801045348828
500	5	-0.059119326315222875	-0.046964958981715377
500	6	0.029778499634794953	0.080462581638270247
500	7	-0.0017314908117158634	0.018834787725560354
500	8	-0.042294853052104009	-0.019517901122729442
500	9	-0.094671933818812559	-0.092270902487615047
500	10	-0.0021116568958164939	0.016639023096841399
500	11	-0.0088919475363252731	-0.0068556584304505508
500	12	0.021766464595198265	0.062457311682775352
500	13	-0.022738557534755288	0.057407053036721889
500	14	-0.027722337702019151	-0.0087586544420070744
500	15	-0.007533172423210166	-0.04264662187856838
500	16	-0.0066785454192580529	-0.0066360819675788107
500	17	0.015095932332116035	0.019200748497013587
500	18	-0.010884976537610669	-0.026617540088920588
500	19	-0.029600722572306948	-0.038401476929711853
500	20	0.055878863364605236	0.054113406093643457
500	21	0.049645063728007033	0.02476335222310122
500	22	0.033448807366730282	0.0045623176388875919
500	23	-0.026134255198279055	-0.039426167089780639
500	24	-0.054116781892364019	-0.034961445678052261
500	25	0.089968208413458095	0.097077200662243124
500	26	-0.038058439818941969	-0.076607781469420377
500	27	-0.024122749046145975	-0.060944660451225707
500	28	-0.0072501375378880573	0.033326834275104966
500	29	0.025158160926367579	0.067580762483119505
500	30	-0.023232934684547124	-0.034449100598017868
500	31	0.052915712372065382	0.045110771115896231
500	32	-0.062316409903464542	-0.095784125893565331
500	33	0.041294199547329047	-0.0050990467274755202
500	34	0.07376818826055942	0.069776527111838238
500	35	0.0034265174695198297	-0.0094905759849133187
500	36	-0.034809130832251012	-0.074192440377829683
500	37	-0.039265710602369608	-0.071557522823366915
500	38	-0.012142831703832568	0.017004983868294632
500	39	0.022022535762596718	0.028130191320470344
500	40	-0.053022977786117753	-0.072801789446307663
500	41	-0.011176919169780697	0.0022201687015874771
500	42	-0.034817898462599417	-0.044988770815868495
500	43	-0.027099248298515399	-0.068849413114613678
500	44	0.031016841504179382	0.089245640153145622
500	45	-0.0085249799765948486	-0.028813304717639432
500	46	-0.011353068846129521	0.02915488148053913
500	47	0.048082059219470619	0.042695430024305425
500	48	0.072137933477646632	0.010856842907881692
500	49	-0.012303956043878017	0.014443258468122444
500	50	0.0087781009192045012	0.034351524435173753
500	51	-0.00016802325137477148	-0.013223375853735453
500	52	-0.007831664029305907	-0.0010734782414909549
500	53	0.0084939768072158639	0.012467070302275562
500	54	0.055005819909348608	-0.046525806055971786
500	55	0.042062836825362382	0.046355037738836868
500	56	0.062084014043874314	0.075631899455088636
500	57	-0.026901341156589154	-0.018493210962660656
500	58	-0.05612006406902259	-0.10925148228304105
500	59	0.015145625243563554	0.0012686706958091598
500	60	0.012482267213062892	0.045330347578768082
500	61	0.010825712250699837	0.050746566996274778
500	62	-0.039582079657853431	-0.059993162445447501
500	63	-0.028592513649828843	-0.0029032820987566765
500	64	-0.022716225443907279	-0.02215281867719221
500	65	-0.057885278173786747	-0.013955297396641697
500	66	0.0020823500376576654	-0.0054650074989287534
500	67	0.067867641968947456	0.10000488683386832
500	68	0.021818969583907721	0.048331225904683972
500	69	0.0037532397013506635	0.020225438657082151
500	70	-0.017198193500641556	-0.0078803485905194481
500	71	0.03849479943552736	0.042768622178596116
500	72	0.025077200610375883	-0.020981744208542152
500	73	0.04273704500549802	0.029228073634829599
500	74	-0.10183737559246731	-0.11298428215186318
500	75	-0.079059330111343473	-0.093441976956265216
500	76	0.021939183199111367	0.045769500504512006
500	77	-0.030031363278470558	0.010198113519265917
500	78	0.01081401582233843	-0.021054936362832732
500	79	0.067819798998720593	0.079071930706748228
500	80	0.0046068563187067202	0.026959116851820175
500	81	-0.027039967173048463	-0.075875859926514133
500	82	0.072221873981335838	0.075558707300797945
500	83	0.014209130673450643	0.030325955949189076
500	84	0.039288361793544002	0.073289750517788521
500	85	0.004765953338924378	-0.072143060057691999
500	86	-0.061345934406374925	-0.025519657774561111
500	87	-0.0038619011652396562	-0.015345948328163606
500	88	-0.024066400491416062	9.7596227159213456e-05
500	89	-0.0062133377756663499	0.00039036484432153351
500	90	0.066263786962365234	0.054698943327968763
500	91	0.016279498110461699	-0.039938512169815032
500	92	-0.021167249153045797	-0.037303594615352376
500	93	-0.014797284193813098	0.00068313346148429765
500	94	0.078934769151461914	0.052064025773506106
500	95	-0.035535011609975964	-0.0061237368875443066
500	96	0.022804645320907646	0.035888559675276932
500	97	-0.023327625493005155	-0.013882105242351006
500	98	-0.04009811651687345	-0.024787736231654756
500	99	-0.048156651913148663	-0.051136911776281324
500	100	-0.00023058205650483554	0.0087342704334534282
500	101	0.18412861773647804	0.2188689454018502
500	102	0.024850613425008161	-0.0050258545731849402
500	103	0.031130837366340813	0.021542897434313701
500	104	-0.020961283946828613	-0.026837116551792439
500	105	-0.011442345115443064	-0.032765681049333417
500	106	0.051194378420733377	0.041377971247074097
500	107	-0.028268443031033597	-0.043085774804312083
500	108	0.016601200598632682	-0.012637838619410258
500	109	0.03238186434925483	0.038962630155483291
500	110	-0.025952619304547953	-0.025373273465979729
500	111	0.033967798925181647	-0.050844143159118782
500	112	0.030937679439965837	0.046940574973161953
500	113	0.025133897183797105	0.011003227216463074
500	114	-0.0054959958087930083	0.040133704624133459
500	115	-0.019166490639823341	-0.015711909099616728
500	116	-0.02885727784101999	-0.052893523479256466
500	117	0.02885933290734477	0.067653954637409974
500	118	0.024003327244694228	-0.0015858233215252371
500	119	-0.046068024305498056	-0.033058449666495848
500	120	0.026446933222369351	-0.02229920298577337
500	121	0.087092247851606075	0.12276764681825392
500	122	-0.0073129264903336599	0.0077095802733846419
500	123	-0.040433539989661371	-0.029837994877708107
500	124	-0.023361038674482804	0.025861234537460698
500	125	-0.022916387847780939	-0.072801789446307663
500	126	-0.060041789799153755	-0.10478676087131267
500	127	-0.013924718770372602	-0.017688097265463831
500	128	-0.045733480571951701	0.0093929998220692035
500	129	-0.0014937645583694703	0.0051478548732126761
500	130	-0.038339340883120854	-0.044915578661577915
500	131	-0.022801045474016179	-0.081511655806892569
500	132	0.030206939611238104	0.029740418714864214
500	133	-0.038334351236532171	-0.071630714977657606
500	134	0.01309347242477954	0.01832244264552596
500	135	0.024801941672057515	0.059017280431115759
500	136	-0.0057884977954361094	0.0028788980902030303
500	137	0.035539595182571215	0.050966143459146629
500	138	-0.027261950245097588	-0.040450857249849537
500	139	0.098059291042182695	0.049721876836205992
500	140	0.013934609508892359	0.013857721233797582
500	141	0.027618891571804527	0.0099053449021035966
500	142	-0.050033015270930181	-0.058016974279600619
500	143	0.013402823942277431	0.017883289719782036
500	144	0.11386618839588603	0.12803748192717923
500	145	0.0002189893452837488	0.036840057681055249
500	146	0.011225555343922	0.0093929998220692035
500	147	0.0096759128903205482	0.016492638788260239
500	148	-0.046241028020012731	-0.012418262156538407
500	149	-0.01072531844458724	-0.024348583305911053
500	150	0.10661811558467416	0.11252074521756583
500	151	0.0069942458139042873	0.056748323648106336
500	152	0.075558699054707246	0.12371914482403201
500	153	-0.022544226082248153	0.0016346314672623929
500	154	0.029609482542629628	0.0014882471586812329
500	155	-0.0033861151454664951	-0.07243582867485443
500	156	0.00011334832497555958	0.033473218583686126
