k	trial	retained_edges	sampled_cost	estimate_S	relative_error
24518	178	5904	172885	923029379.54416847	0.18474617835307039
24518	179	5679	164785	879783649.87237656	0.12923850536432147
24518	180	5828	158555	846521810.87789941	0.086545566756925485
24518	181	4821	130543	696966331.91910458	-0.10541504259626411
24518	182	5434	149824	799907185.47488511	0.02671377751436177
24518	183	5120	143841	767964074.28644907	-0.014286519706833922
24518	184	6333	167587	894743468.95143342	0.14844004853894788
24518	185	5132	137803	735727319.25456262	-0.055663720880422485
24518	186	5465	143495	766116787.56219721	-0.01665758820734109
24518	187	5336	138442	739138926.81755948	-0.051284782233532278
24518	188	5383	152157	812363023.41615546	0.042701357894948222
24518	189	5070	146228	780708217.09219813	0.0020711118270109186
24518	190	4670	131741	703362428.72735226	-0.09720538923323685
24518	191	5723	156239	834156735.57914996	0.070674483961624013
24518	192	5346	149521	798289474.84642172	0.02463737937663435
24518	193	6701	181989	971635444.10367405	0.24713406167277063
24518	194	5494	132479	707302595.20856011	-0.092148023472039653
24518	195	5402	142096	758647555.9806124	-0.026244654196385442
24518	196	7008	190583	1017518629.3875482	0.30602701743391969
24518	197	4857	135242	722054194.10771585	-0.07321373946365517
24518	198	5690	141497	755449507.57648849	-0.030349480877899127
24518	199	5214	142452	760548232.49458241	-0.023805057704534449
50000	0	20636	567889	729040641.77592301	-0.064246346487215167
50000	1	22811	609717	782738304.46036184	0.0046768124736604744
50000	2	23337	626280	804001438.892856	0.031968920197409822
50000	3	22568	581598	746639887.68155968	-0.041656990405292915
50000	4	22147	606584	778716243.22888184	-0.00048566856833109906
50000	5	25426	666575	855731077.36157227	0.098366039120822091
50000	6	21245	540105	693372288.99729502	-0.11002814453084564
50000	7	24476	671131	861579947.76394153	0.10587330488121593
50000	8	23180	649918	834347268.2544024	0.070919040488056861
50000	9	21729	603826	775175596.92296994	-0.0050302337498863148
50000	10	20830	579965	744543486.15235233	-0.044347808005539391
50000	11	28816	804175	1032378260.7167121	0.32509996551023845
50000	12	23531	630284	809141666.52478886	0.038566613811241268
50000	13	23658	666102	855123852.66878891	0.097586641248858408
50000	14	20372	556726	714709882.27161026	-0.082640465820682185
50000	15	22800	651091	835853134.14157951	0.072851881299501375
50000	16	22099	637920	818944558.1824913	0.051149028505351746
50000	17	22992	631421	810601316.57911158	0.040440134700084229
50000	18	22623	629767	808477955.81407225	0.037714713811653144
50000	19	25145	696078	893606236.15900457	0.14698036346869237
50000	20	22255	571001	733035743.77157128	-0.059118468733407981
50000	21	20474	578904	743181402.85627806	-0.046096097946667136
50000	22	22296	582874	748277982.2016263	-0.039554428704181688
50000	23	21393	604120	775553026.22461534	-0.0045457877153043391
50000	24	24247	686489	881296135.56894326	0.13117984297342988
50000	25	21119	574781	737888406.22129822	-0.052889876860210405
50000	26	23974	669001	858845510.98671448	0.10236354279393778
50000	27	25282	700643	899466660.51958752	0.1545024592097366
